YEAR,MO,DY,T2M,T2MDEW,TS,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,RAIN
2000,3,31,29.12,17.85,31,37.47,21.58,13,0,100.7,4.05,201.94,5.73,202.75,NO
2000,4,1,30.19,18.64,31.73,39.53,23.01,13.92,0,100.5,5.23,212.81,7.14,214.19,NO
2000,4,2,30.68,19.31,32.24,40.41,23.53,14.59,0,100.34,5.59,208.62,7.37,210.12,NO
2000,4,3,31.19,17.05,32.96,41.17,23.76,13.24,0,100.46,3.76,218.81,5.38,220.88,NO
2000,4,4,31.3,18.15,32.94,41.02,24.1,13.98,0,100.43,4.29,223.94,6.01,225.38,NO
2000,4,5,31.62,20.62,33.58,41.08,24.32,15.69,0,100.39,4.44,203.69,6,205.19,NO
2000,4,6,31.73,20.34,33.68,40.8,24.87,15.38,0,100.41,4.48,202.25,5.95,204.31,NO
2000,4,7,31.5,22.09,33.32,39.53,24.9,16.78,0,100.65,4.62,199.19,6.06,201.06,NO
2000,4,8,32.15,18.35,33.87,41.87,24.53,14.16,0,100.55,3.73,222.25,5.34,223.94,NO
2000,4,9,31.82,21.42,33.51,41.06,24.83,16.36,0.4,100.3,5.37,195,6.98,196,YES
2000,4,10,32.95,13.62,33.93,42.4,25.5,11.72,0.41,100.32,2.68,245.69,3.73,246.06,YES
2000,4,11,31.99,19.34,33.83,41.56,24.08,14.65,1.76,100.38,4.34,186.56,6.04,186.69,YES
2000,4,12,30.39,22.33,31.82,37.91,25.21,17.03,13.82,100.4,4.16,173.88,5.58,175.19,YES
2000,4,13,30.37,21.42,32.21,38.15,24.95,16.17,0,100.36,4.45,183.31,5.78,184.19,NO
2000,4,14,29.94,20.8,31.65,37.96,24.08,15.56,0.02,100.26,4.91,182.12,6.34,182.56,YES
2000,4,15,28.73,22.65,29.93,34.55,24.47,17.21,8.21,100.48,3.93,163.06,5.34,163.5,YES
2000,4,16,29.79,21.83,31.76,36.93,24.03,16.42,1.61,100.53,2.63,214.94,3.89,215.94,YES
2000,4,17,30.5,21.87,32.06,37.27,25.02,16.48,0.03,100.48,3.65,195,4.8,196.06,YES
2000,4,18,31.3,22.56,32.65,39.06,25.38,17.27,0.03,100.48,5.66,187.81,7.34,189.06,YES
2000,4,19,31.02,22.56,32.31,38.24,25.56,17.27,0.01,100.51,5.59,192.69,7.12,194.19,YES
2000,4,20,31.5,22.87,33.06,39.93,25.66,17.58,0.01,100.32,5.6,188.19,7.05,189.5,YES
2000,4,21,31.19,23.24,32.81,38.79,25.73,17.94,0.75,100.25,6.1,181.06,7.6,182.06,YES
2000,4,22,29.88,23.78,31.04,36.12,25.77,18.49,1.27,100.32,5.23,180.19,6.66,181.44,YES
2000,4,23,30.8,23.23,32.15,38.01,25.16,17.94,0.49,100.27,5.95,187.06,7.61,188.12,YES
2000,4,24,31.23,23.03,32.26,39.79,26.49,17.76,12.94,100.16,5.67,197.25,7.46,198.81,YES
2000,4,25,30.62,23.15,31.73,37.27,25.91,17.88,6.79,100.1,5.22,180.81,6.88,182,YES
2000,4,26,29.82,23.88,31.08,35.83,25.65,18.62,5.5,100.18,5.88,169.56,7.55,170.81,YES
2000,4,27,30.56,23.67,32.41,37.5,25.31,18.43,1.68,100.16,4.18,170.25,5.27,171.81,YES
2000,4,28,30.86,24.22,31.92,37.17,27.08,19.1,1.17,100.06,5.47,186.31,6.98,188.12,YES
2000,4,29,30.49,25.01,31.3,36.37,26.37,19.9,6.55,100.16,6.26,184.81,8,186.38,YES
2000,4,30,29.94,24.83,30.66,35.51,26.64,19.71,6.74,100.36,7.04,188.81,9,190.31,YES
2000,5,1,30.59,24.31,31.96,37.33,26.37,19.1,0.62,100.31,7.21,190.12,9.09,191.69,YES
2000,5,2,29.51,24.84,30.37,34.55,26.37,19.65,16.23,100.49,6.69,178.69,8.66,179.69,YES
2000,5,3,28.23,24.99,28.73,32.28,25.84,19.78,27.05,100.68,5.08,162.12,6.88,162.88,YES
2000,5,4,27.87,23.14,28.3,31.66,25.19,17.76,5.99,100.7,2.04,154.62,3.55,156,YES
2000,5,5,28.4,22.28,29.53,33.65,24.08,16.78,0,100.78,2.77,158.56,4.14,158.31,NO
2000,5,6,28.57,22.04,29.64,34.02,23.8,16.54,0,100.8,2.95,168.88,4.2,168.56,NO
2000,5,7,28.52,22.22,29.66,32.98,24.66,16.72,0.2,100.75,2.02,161.38,3.17,160.69,YES
2000,5,8,27.82,23.77,28.15,30.71,25.26,18.37,7.14,100.65,1.69,207.12,2.77,208.38,YES
2000,5,9,28.56,24.76,29.09,32.24,25.13,19.53,19.32,100.59,2.48,185.12,3.97,186,YES
2000,5,10,29.26,24.97,29.68,33.15,25.83,19.78,10.89,100.44,2.98,189.31,4.62,190.38,YES
2000,5,11,29.97,24.85,30.69,34.46,26.02,19.71,3.58,100.25,2.13,174,3.55,174.75,YES
2000,5,12,30.78,24.62,31.48,35.07,26.59,19.47,0.5,100.18,1.84,150,3.05,149.62,YES
2000,5,13,31.43,24.69,32.38,37.18,26.34,19.53,4.16,100.12,2.49,159.75,3.82,157.81,YES
2000,5,14,31.25,25.17,32.05,36.77,26.74,20.14,4.59,100.12,3.33,196.69,4.84,198,YES
2000,5,15,29.62,24.23,30.23,34.24,26.17,19.04,1.11,100.13,3.09,187.56,4.49,188.69,YES
2000,5,16,29.48,23.65,29.9,33.79,26.72,18.37,5.64,100.09,3.34,179.88,4.99,181.06,YES
2000,5,17,28.98,25.43,29.23,32.42,26.15,20.45,10.14,99.92,3.19,172.19,4.77,173.12,YES
2000,5,18,30.77,25.98,31.13,36.15,26.74,21.24,6.47,99.67,3.3,177.94,4.94,177,YES
2000,5,19,31.67,26.64,31.83,37.37,27.96,22.09,8.28,99.72,2.98,166.69,4.56,170.5,YES
2000,5,20,29.48,26.21,29.73,32.88,27.06,21.42,8.32,100.01,3.86,181.69,5.48,182.12,YES
2000,5,21,28.51,25.62,28.65,31.59,26.54,20.69,6.1,100.1,3.21,187.19,4.88,187.38,YES
2000,5,22,28.37,25.46,28.85,31.79,25.96,20.45,8.93,100.13,4.11,180.5,5.72,181.31,YES
2000,5,23,29.19,25.55,29.91,33.6,25.62,20.63,8.97,99.97,3.2,178.62,4.75,179.19,YES
2000,5,24,29.12,26.51,29.16,31.74,27.13,21.85,15.67,99.87,3.26,221.94,4.92,223,YES
2000,5,25,30.05,26.53,30.08,34.41,26.62,21.91,6.82,99.71,4.61,204.88,6.55,206.38,YES
2000,5,26,31.33,25.84,31.37,37.95,26.93,21.12,0.68,99.61,5.94,202.25,8.01,203.88,YES
2000,5,27,30.67,26.3,30.75,35.41,27.77,21.61,0.52,99.78,7.2,193,9.46,194.56,YES
2000,5,28,29.62,26.52,29.46,32.44,27.6,21.85,11.93,99.98,7.07,194.19,9.46,195.62,YES
2000,5,29,28.98,25.8,28.81,32.3,27.05,20.87,9.73,100.13,5.57,190.81,7.82,191.69,YES
2000,5,30,28.55,26.45,28.56,31.37,26.36,21.73,2.48,100.15,3.73,144.5,5.51,145.12,YES
2000,5,31,29.27,25.63,29.7,33.47,25.59,20.69,1.26,100.08,1.88,157.31,3.08,158.69,YES
2000,6,1,29.5,25.43,29.92,33.69,26.2,20.51,0.56,99.95,2.07,161.19,3.28,175.06,YES
2000,6,2,28.9,25.83,29.37,32.33,26.12,20.94,0.04,100.02,2.88,180.5,4.29,180.94,YES
2000,6,3,30.4,25.07,31.4,35.45,25.99,20.08,0.04,99.95,1.98,143.38,3.03,142.81,YES
2000,6,4,29.16,26.2,29.41,31.87,27.1,21.42,7.8,99.89,2.38,133.19,3.52,133.06,YES
2000,6,5,28.49,26.51,28.51,30.68,26.65,21.85,27.99,99.76,5.79,97.5,7.88,98.44,YES
2000,6,6,28.3,26.29,28.17,30.55,27.01,21.55,17.09,99.83,7.76,138.56,10.34,139.56,YES
2000,6,7,28.58,25.93,28.6,32.08,26.46,21.06,8.48,100.17,5.5,168.12,7.59,168.81,YES
2000,6,8,28.07,26.01,28.05,30.4,26.61,21.12,3.71,100.32,4.97,196.19,6.9,196.75,YES
2000,6,9,28.7,26.05,28.83,31.58,26.4,21.18,9.38,100.19,4.96,206.81,6.85,207.38,YES
2000,6,10,28.67,26.63,28.65,31.15,26.92,21.97,5.17,100.03,4.95,204.69,6.83,205.25,YES
2000,6,11,28.5,26.72,28.4,30.47,27.16,22.09,8.94,99.87,3.7,219.94,5.49,220.19,YES
2000,6,12,28.89,26.21,28.91,32.37,26.62,21.48,4.37,99.85,3.97,206.38,5.66,207.44,YES
2000,6,13,28.98,25.83,29.12,32.89,26.5,21,11.83,99.87,4.71,204.44,6.54,205.12,YES
2000,6,14,29.49,26.23,29.7,33.58,26.78,21.48,10.07,99.87,3.59,194,5.3,195.06,YES
2000,6,15,28.8,25.92,29.05,31.48,26.62,21.12,7.03,99.85,1.92,192.62,3.12,192.81,YES
2000,6,16,29.19,25.53,29.87,32.71,25.9,20.63,3.96,99.77,1.38,186.69,2.16,187.19,YES
2000,6,17,28.61,26.33,28.86,31.34,26.47,21.67,4.15,99.69,2.09,168.94,3.12,170.12,YES
2000,6,18,27.97,26.17,28.01,30.27,26.58,21.48,5.31,99.66,3.91,156.56,5.54,156.31,YES
2000,6,19,28.25,26.22,28.26,30.76,26.44,21.48,7.84,99.77,5.84,141,7.97,141.69,YES
2000,6,20,28.8,25.95,28.97,31.9,26.56,21.12,5.56,99.95,5.33,176.31,7.34,176.94,YES
2000,6,21,28.76,26.15,28.86,31.6,26.98,21.36,6.62,100.04,6.12,184.81,8.2,185.38,YES
2000,6,22,28.31,26.27,28.2,30.79,26.53,21.48,21.97,100.06,6.31,186,8.53,186.56,YES
2000,6,23,28.19,26.76,28.04,30.08,26.98,22.16,16.57,99.99,6.02,195.06,8.24,195.56,YES
2000,6,24,29.1,26.14,29.05,32.67,26.37,21.36,4,99.85,4.7,228.19,6.71,229.25,YES
2000,6,25,29.42,26.4,29.65,33.49,26.62,21.73,11.28,99.87,4.83,207.69,6.54,209,YES
2000,6,26,28.4,26.61,28.33,30.4,26.62,21.97,8.16,99.91,3.96,184.69,5.7,184.94,YES
2000,6,27,28.65,26.17,28.87,32.7,26.01,21.42,2.18,99.9,3.15,174.88,4.77,174.94,YES
2000,6,28,27.78,25.8,27.9,30.78,26.05,20.87,1.53,100.05,3,151.81,4.45,151.88,YES
2000,6,29,28.69,25.61,29.25,32.4,25.99,20.63,2.01,100.12,4.55,143.62,6.39,143.69,YES
2000,6,30,28.56,25.19,29,32.18,25.9,20.14,0.73,100.12,4.2,160.62,6.05,160.81,YES
2000,7,1,28.55,25.69,28.84,31.8,25.94,20.75,0.38,100.12,3.78,174.62,5.56,175,YES
2000,7,2,28.79,25.68,29.29,32.15,26.04,20.75,0,100.11,3.02,174.88,4.49,175,NO
2000,7,3,29.22,25.38,30.12,33.59,25.69,20.39,0,100.03,2.8,181.31,4.09,181.5,NO
2000,7,4,29.48,24.89,30.27,34.63,25.3,19.78,0,100.01,3.3,192.81,4.97,192.94,NO
2000,7,5,29.4,25.58,29.98,33.83,25.55,20.63,0,99.96,3.23,187.44,4.8,187.44,NO
2000,7,6,28.68,26.04,28.88,31.68,26.55,21.24,0.3,99.96,3.03,179.94,4.59,180,YES
2000,7,7,28.95,25.73,29.39,32.04,25.98,20.81,1.47,99.92,3.05,140.44,4.45,140.69,YES
2000,7,8,28.95,27.07,28.95,31.58,26.73,22.64,1.11,99.74,3.19,145.62,4.89,146.06,YES
2000,7,9,29.16,26.4,29.4,32.05,27.12,21.79,2.48,99.6,3.45,207.25,5.09,207.56,YES
2000,7,10,29.08,26.74,29.43,31.48,26.92,22.28,1.61,99.45,1.71,140.94,2.77,141.38,YES
2000,7,11,29.02,27.23,29.05,31.84,27.38,22.95,10.66,99.36,5.62,115.31,7.56,115.62,YES
2000,7,12,28.87,25.83,29.08,32.06,26.98,21.06,7.89,99.52,5.56,160.5,7.49,161.12,YES
2000,7,13,28.87,25.87,29.08,31.96,26.81,21.06,7.8,99.73,5.99,187.62,7.96,188.12,YES
2000,7,14,28.94,25.85,29.26,32.3,26.26,21,2.32,99.79,4.18,202.38,5.85,202.94,YES
2000,7,15,29.41,26.53,29.74,32.77,26.88,21.97,5.18,99.61,1.85,212.44,2.82,212.81,YES
2000,7,16,28.96,26.87,29.07,32.16,26.93,22.4,9.48,99.44,2.57,170.75,3.54,170.81,YES
2000,7,17,28.34,25.9,28.73,31.69,26.14,21.18,11.68,99.43,3.95,189.12,5.47,189.5,YES
2000,7,18,28.23,25.98,28.34,31.21,26.76,21.3,18.82,99.15,6.93,178.69,9.09,179,YES
2000,7,19,28,25.55,27.9,30.55,26.3,20.69,11.05,99.49,7.2,183.81,9.62,184.75,YES
2000,7,20,28.01,25.77,28.01,30.64,26.44,20.94,13.49,99.85,3.91,186.25,5.7,186.81,YES
2000,7,21,27.3,25.83,27.12,28.39,26.45,20.94,32.74,100.09,2.88,239.81,4.41,240.19,YES
2000,7,22,27.05,25.58,26.9,28.87,25.76,20.63,58.18,100.14,4.18,251.5,6.05,252.19,YES
2000,7,23,27.81,25.75,27.77,30.9,25.44,20.87,34.66,99.95,4.31,275.25,6.22,276.06,YES
2000,7,24,26.85,25.65,26.78,28.15,25.59,20.75,40.55,99.89,3.26,258.06,4.84,258.62,YES
2000,7,25,27.25,25.77,27.26,29.96,25.24,20.94,11.77,99.87,3.48,255.06,4.94,256.31,YES
2000,7,26,27.65,25.49,27.87,30.8,25.19,20.57,2.9,99.86,5.5,191.69,7.35,192.5,YES
2000,7,27,27.23,25.05,27.26,29.57,24.9,20.02,4.13,99.91,5.2,183.75,7.18,184.25,YES
2000,7,28,27.6,25.72,27.56,30.71,25.91,20.81,2.04,99.95,4.24,176.19,6.12,176.5,YES
2000,7,29,27.23,25.4,27.26,29.62,25.39,20.39,4.58,100.22,3.2,174.56,4.88,174.75,YES
2000,7,30,27.44,25.57,27.36,29.65,25.69,20.57,2.55,100.31,4.41,190.94,6.37,191.44,YES
2000,7,31,28.09,26.19,28.1,30.83,26.26,21.36,8.52,100.22,5.61,196.31,7.62,196.94,YES
2000,8,1,28.09,26.35,28.01,30.67,26.27,21.61,9.8,100.14,5.92,204.31,8,205,YES
2000,8,2,27.69,26.06,27.51,29.81,26.25,21.18,14.11,100.21,4.33,210.38,6.16,211,YES
2000,8,3,27.38,25.72,27.16,29.57,26.18,20.75,8.37,100.17,4.55,223.25,6.53,224.12,YES
2000,8,4,28.57,26.07,28.62,32.27,25.96,21.24,3.63,100.13,3.82,232.38,5.66,233.31,YES
2000,8,5,28.36,25.91,28.44,31.43,25.94,21.06,6.5,100.07,2.04,176.25,3.12,176,YES
2000,8,6,28.74,26.06,28.86,31.84,25.88,21.24,13.47,100.03,1.36,225.06,2.34,225.62,YES
2000,8,7,29.15,26.34,29.4,32.37,26.28,21.61,6.11,100,1.52,170.81,2.35,169.75,YES
2000,8,8,28.58,26.94,28.66,31.77,26.49,22.4,3.36,99.9,3.29,104.19,4.83,104.56,YES
2000,8,9,28.07,26.41,27.97,30.74,26.15,21.73,12.45,99.88,4.51,113.62,6.64,114.06,YES
2000,8,10,27.69,25.93,27.62,30.75,25.83,21.06,10.42,100.04,5.67,118.12,7.94,118.81,YES
2000,8,11,27.57,25.73,27.44,30.29,25.79,20.81,5.37,100.12,4.75,160.25,6.92,160.75,YES
2000,8,12,26.87,25.36,26.76,28.44,25.55,20.26,5.05,100.38,3.59,192.31,5.43,192.94,YES
2000,8,13,27.45,25.5,27.38,30.27,25.65,20.45,1.25,100.5,4.72,197.44,6.85,198.06,YES
2000,8,14,28.05,25.82,27.99,31.17,25.94,20.87,0.7,100.34,4.28,213.44,6.16,214.19,YES
2000,8,15,27.98,25.76,27.85,31.01,25.66,20.81,2.64,100.22,4.52,215.38,6.43,216.06,YES
2000,8,16,28.4,26.31,28.4,31.62,26.07,21.55,3.15,100,3.64,222.62,5.43,223.19,YES
2000,8,17,28.65,26.15,28.49,31.25,25.94,21.42,20.19,99.76,1.62,262.06,2.5,263.38,YES
2000,8,18,28.15,26.15,28.14,31.33,26.31,21.42,8.19,99.76,5.24,143.81,7.09,144,YES
2000,8,19,28.05,26.19,28.08,31.1,26.05,21.42,3.85,99.95,3.64,141,5.43,141.25,YES
2000,8,20,27.93,25.86,28.06,31.19,25.64,21,1.52,99.91,3.81,127.06,5.68,127.44,YES
2000,8,21,27.52,25.74,27.55,29.87,25.8,20.87,6.72,99.9,3.88,114.94,5.84,115.38,YES
2000,8,22,27.62,25.65,27.69,31.23,25.06,20.69,1.26,100.06,3.7,111.62,5.71,112.06,YES
2000,8,23,28.11,25.91,28.23,31.28,25.62,21.06,3.38,100.13,3.98,128,6.04,128.25,YES
2000,8,24,28.13,25.94,28.29,31.64,25.45,21.06,0.21,100.05,3.61,130.94,5.51,131.19,YES
2000,8,25,28.58,26.06,28.86,32.54,25.39,21.24,1.61,100.13,3.15,138.69,4.68,138.56,YES
2000,8,26,28.49,26.01,28.81,32.27,25.25,21.18,5.29,100.12,3.2,123.62,4.74,123.5,YES
2000,8,27,28.48,25.76,28.96,32.15,25.44,20.87,1,100.02,2.98,136,4.55,135.88,YES
2000,8,28,27.94,26.15,28.01,30.84,26.01,21.36,0.66,99.86,3.32,159.75,5.01,159.94,YES
2000,8,29,28.19,26.45,28.25,30.87,26.42,21.85,3.39,99.6,2.72,129.56,4.23,129,YES
2000,8,30,28.04,26.61,28.02,30.32,26.47,22.09,21.09,99.42,1.75,198.5,2.74,185.69,YES
